id,name,role,industry,experience,funding_needed,funding_available,email,phone,linkedin
1313,Sara Jones,investor,Finance,21,0,397541,murphysusan@gmail.com,232.899.3276x4567,http://www.boyd.info/
1314,Jason Rhodes,newbie,Tech,0,0,0,michael60@gmail.com,163.731.6343x01522,http://hunt-mejia.com/
1315,Alyssa Adkins,investor,Healthcare,20,0,497077,kelly27@yahoo.com,001-784-163-8534x19549,https://www.lewis-cochran.net/
1316,Kyle Wilson,mentor,E-commerce,9,0,0,prussell@hotmail.com,+1-416-662-8588,http://www.vasquez.org/
1317,Jerry Welch,investor,AI,22,0,388399,monica14@gmail.com,(876)266-1431x90009,https://www.wood.com/
1318,Michael Patel,newbie,Blockchain,0,0,0,robert21@yahoo.com,1415213996,http://aguirre-jimenez.biz/
1319,Martha Mccoy,newbie,Tech,0,0,0,theresacoleman@bray.com,1810749752,http://www.schultz.com/
1320,William Norton,mentor,Finance,16,0,0,kayleechandler@bowen-kent.com,(746)685-4271x8779,https://www.powell.net/
1321,Karen Lowe,mentor,Healthcare,0,0,0,davisandrea@gmail.com,965-176-1416x23297,http://www.austin-reid.info/
1322,Pedro Mckinney,mentor,AI,22,0,0,adamsemily@park.com,+1-189-496-1113x6881,http://www.smith.com/
1323,David Jenkins,mentor,E-commerce,3,0,0,munozmatthew@tanner.com,337-167-3263,https://chaney.com/
1324,Andrea Lucas,newbie,Education,0,0,0,ualvarado@gmail.com,089-305-5300,http://ruiz.com/
1325,Caleb Lindsey,investor,Tech,28,0,147127,qburton@may.org,504-558-4353,https://www.cowan.com/
1326,Chelsea Clark,mentor,Healthcare,28,0,0,nancy13@wilcox.info,(606)936-8217x2682,http://benton-thompson.com/
1327,Nicole Johnson,entrepreneur,Healthcare,28,38628,0,shaneyoung@gmail.com,249.663.5545,https://www.garcia-cooley.org/
1328,Steven Jones,newbie,E-commerce,0,0,0,lisasims@hotmail.com,436.384.0239,https://www.gonzalez.com/
1329,Frank Mosley,mentor,AI,7,0,0,reneesanchez@hotmail.com,056.676.4958,http://www.alexander.com/
1330,Megan Joseph,entrepreneur,AI,20,44730,0,omorgan@flores-gonzales.org,582-785-0676,https://wright.info/
1331,Lisa Nelson,mentor,Tech,6,0,0,amanda41@johnson.info,+1-409-187-5851x1128,https://www.stewart.com/
1332,Stephen Webb,investor,AI,1,0,314193,jacqueline72@yahoo.com,001-666-892-1513x892,https://www.cardenas.com/
1333,Kimberly Baker,newbie,Education,0,0,0,corey29@swanson-perez.com,684-136-1218x02960,https://higgins-tran.com/
1334,Timothy Brock,mentor,Finance,1,0,0,wyattdiaz@gmail.com,942-585-7112,http://colon.com/
1335,Steven Lewis,entrepreneur,Tech,6,84511,0,christinabaird@gmail.com,786-171-6838,http://adams.com/
1336,Jacob Roberson,newbie,Finance,0,0,0,christina75@hotmail.com,+1-113-469-2500x4721,https://roberts.net/
1337,Sarah Mckay,newbie,E-commerce,0,0,0,wagnerkimberly@flores-collier.net,0665217626,http://www.ballard.info/
1338,Timothy Quinn,newbie,Finance,0,0,0,turnerdylan@bryan.biz,+1-238-146-2737x6335,https://www.stone-bailey.com/
1339,Zachary Hoffman,newbie,Healthcare,0,0,0,hillsusan@gmail.com,535.970.0440,https://sanchez.com/
1340,Robert Hill,entrepreneur,Blockchain,8,49284,0,hjuarez@gmail.com,888-841-6161x457,https://www.johnson.com/
1341,Chelsea Rivera,newbie,Blockchain,0,0,0,thorntonmatthew@sweeney.com,958-955-0163,http://mitchell.com/
1342,Maria Brown,entrepreneur,Blockchain,10,69584,0,nallen@yahoo.com,(644)974-3489x26409,http://www.hernandez.com/
1343,Glenn Campbell,investor,E-commerce,12,0,177724,westmark@yahoo.com,354.161.4318,http://www.schmidt.biz/
1344,Jeffrey Meyer,newbie,Education,0,0,0,jbrown@arroyo.com,+1-462-835-8617x55527,http://www.spence.biz/
1345,Jacob Pratt,mentor,AI,24,0,0,stephaniejohnson@yahoo.com,234-730-5587,http://bradley.com/
1346,Veronica Hendricks,newbie,AI,0,0,0,rowedaniel@ross.com,+1-707-562-8616x221,http://sanders.org/
1347,Christine Shelton,mentor,Healthcare,9,0,0,dbrown@yahoo.com,+1-198-334-6538x68607,https://www.costa.com/
1348,Brian Gill,newbie,AI,0,0,0,ericguerrero@lane-shields.biz,+1-718-926-8105x602,http://www.diaz-mckinney.info/
1349,Candice Allen,entrepreneur,Healthcare,27,15479,0,emilybernard@gmail.com,001-519-183-0574,https://morgan.com/
1350,Janet Williams,entrepreneur,AI,29,41615,0,cristinawillis@yahoo.com,001-437-877-4838x8930,http://johnson.org/
1351,Shannon Sanchez,newbie,Finance,0,0,0,wilsontodd@jones-rodriguez.com,355-581-6619x217,http://www.moore.com/
1352,Lauren Gonzalez,entrepreneur,Healthcare,25,36307,0,christinalindsey@clark.info,(522)181-4691x65342,https://sims.com/
1353,Patricia Peterson,investor,E-commerce,29,0,199886,allenmallory@hotmail.com,(763)129-3442,https://garcia.com/
1354,Sandra Griffin,entrepreneur,Tech,21,89276,0,conwayjesse@hotmail.com,001-843-360-2373,https://www.boyd-wallace.info/
1355,Karl Rosales,investor,E-commerce,7,0,53537,todd01@herman.info,963-200-7368x4941,http://www.hall-mendez.com/
1356,Emily Johnston,investor,Finance,28,0,425412,toddross@crosby-brown.org,158-425-7243,https://www.smith.com/
1357,Steven Sanders,newbie,Finance,0,0,0,dperry@gmail.com,322.140.7848x85701,http://www.nichols.org/
1358,Alexander Bean,investor,Education,24,0,293302,anna93@gmail.com,949.059.1801,https://hess-francis.biz/
1359,Chad Figueroa,newbie,Healthcare,0,0,0,kristen04@robertson.info,007.929.6707,http://www.norris.com/
1360,Amber Anderson,entrepreneur,Healthcare,5,81570,0,nicole47@yahoo.com,+1-971-776-3556x06374,http://hill.com/
1361,Michelle Crawford,entrepreneur,E-commerce,0,48235,0,elizabethjimenez@andrade-young.com,+1-220-608-3825,https://www.herrera-villanueva.biz/
1362,Curtis Oliver,newbie,Tech,0,0,0,ttaylor@sheppard.com,001-080-775-0181,http://www.espinoza.com/
1363,Jeffrey Orr,newbie,Blockchain,0,0,0,cesar03@francis-hoffman.biz,035-533-7025x8517,https://roberts.biz/
1364,Sean Scott,mentor,Finance,18,0,0,iwright@kent.com,324-430-4284,http://www.scott.com/
1365,Erin Thomas,investor,Blockchain,19,0,469357,travis41@ramsey.com,+1-546-449-5749x675,https://koch.biz/
1366,Candice Griffin,investor,Finance,6,0,16848,johnibarra@gates.biz,001-625-580-3148x7479,http://www.ryan.com/
1367,James Miller,entrepreneur,Education,4,75398,0,riverawilliam@gmail.com,+1-209-921-4726x65678,http://valenzuela-nguyen.org/
1368,Annette Hernandez,mentor,Finance,7,0,0,daniel63@chavez.biz,(785)981-3388,https://www.hicks.net/
1369,Danielle Winters,mentor,Tech,9,0,0,wilsontrevor@gmail.com,576-768-5716,https://www.barnes.biz/
1370,Christopher Johnson,entrepreneur,Healthcare,12,61843,0,wpace@anthony.com,839.951.1680x42197,http://carlson.com/
1371,Justin Tucker,entrepreneur,Healthcare,3,67442,0,melanie38@hotmail.com,(398)148-2788x888,http://www.reyes.com/
1372,Chelsea Johnson,newbie,Finance,0,0,0,uingram@hutchinson.com,001-786-018-5904x45330,http://woodard-knight.com/
1373,Ralph Anderson,entrepreneur,E-commerce,14,74890,0,tiffany66@yahoo.com,405.498.7738x980,https://macdonald-baker.info/
1374,Carol Bradford,investor,Finance,21,0,119931,meyermary@gmail.com,909.412.8979,https://edwards.info/
1375,Mary Williamson,investor,Finance,18,0,129772,walkermark@carpenter-montoya.net,101-965-4407,http://www.carr.com/
1376,Kevin Sharp,entrepreneur,Education,22,45252,0,dianejensen@anderson.com,382.758.8763,http://www.olson-becker.com/
1377,Emily Bird,newbie,AI,0,0,0,jackbranch@hotmail.com,054.824.6550x9798,https://www.smith.com/
1378,Dorothy Taylor,entrepreneur,E-commerce,8,64042,0,bobby27@yahoo.com,+1-744-581-0244x9819,https://cochran.net/
1379,Michael Gallagher,mentor,Tech,24,0,0,thorntonkristy@gmail.com,211-248-9658,https://mitchell.com/
1380,Douglas Garcia,newbie,E-commerce,0,0,0,timothyhoward@gmail.com,(151)110-4384x10146,http://www.hunt.com/
1381,Michael Taylor,mentor,Blockchain,22,0,0,garciaedward@gmail.com,650.472.4782x63399,https://www.phillips-brown.com/
1382,Michelle Perez,entrepreneur,Tech,11,22636,0,kristendecker@yahoo.com,+1-925-803-1886,https://www.simmons-yu.biz/
1383,Jason Mills,entrepreneur,Education,6,97506,0,yduncan@gmail.com,+1-228-434-6476,http://www.jones.org/
1384,Cameron Bautista,entrepreneur,Finance,12,92173,0,williammiller@wade.com,001-738-076-0862x287,https://www.perez.com/
1385,Robert Tapia,mentor,Healthcare,20,0,0,watsonmichelle@gmail.com,553.139.4336x399,https://arnold.com/
1386,Dakota Garcia,investor,E-commerce,9,0,365144,stewarterik@gmail.com,(389)143-4185x62180,https://www.burton.com/
1387,Lawrence Dunn,investor,Blockchain,14,0,52387,brenda54@jones.com,001-742-200-6591x056,https://www.harris.net/
1388,Samantha Jackson,entrepreneur,Education,18,97053,0,alejandrorodriguez@thompson-gonzalez.info,(206)560-2726x77128,https://thomas.com/
1389,Kimberly Barry,entrepreneur,Healthcare,20,13473,0,michael72@hotmail.com,974-908-8524x8866,https://www.kim-davis.com/
1390,Jacob Krueger,entrepreneur,AI,17,55381,0,zstuart@gmail.com,(314)622-2620,http://smith.com/
1391,Preston Coleman,mentor,AI,1,0,0,dominique42@hotmail.com,251-397-8144,http://moore.com/
1392,Yolanda Wright,newbie,Tech,0,0,0,xrobertson@jacobs.com,464.953.0994x295,https://yu.com/
1393,Louis Smith,newbie,AI,0,0,0,angela51@terry.com,375-125-3472,https://www.morales.com/
1394,Taylor Fields,mentor,Blockchain,2,0,0,hking@singh.com,897.923.9576x5118,http://hernandez.com/
1395,Arthur Evans,newbie,Tech,0,0,0,hubbarddaniel@gmail.com,001-987-910-8120x11755,https://www.watkins.info/
1396,Melissa Ali,entrepreneur,Blockchain,20,42743,0,thomasanna@shepard.com,879.998.3138,http://www.hernandez.com/
1397,Kim Mcintyre,investor,Healthcare,2,0,114167,brenda03@yahoo.com,+1-821-611-2098,https://www.brewer.biz/
1398,Kristen Bridges,mentor,Blockchain,21,0,0,ubullock@yahoo.com,440.404.4690,http://www.payne-williams.com/
1399,Amy Maddox,entrepreneur,AI,16,35113,0,marshalljames@roberts.com,609-064-6786,https://www.henderson.com/
1400,Jessica Williams,newbie,Tech,0,0,0,zreese@bishop.info,005-110-4387,http://www.holloway-baker.com/
1401,Robert Estrada,mentor,AI,1,0,0,nguyenrandy@gmail.com,255.372.1127x696,https://www.hanson.net/
1402,Karen Brown,mentor,Blockchain,22,0,0,ryan56@hunt.com,702.962.9528,http://www.walker.com/
1403,Lauren Barton,mentor,Finance,12,0,0,sarahholmes@dean.info,167.404.9851,http://wilson.org/
1404,Evan Baker,newbie,Education,0,0,0,robertsoto@yahoo.com,001-298-769-3621,https://james-black.com/
1405,Bob Hamilton,mentor,AI,8,0,0,klynch@gutierrez.com,001-403-921-8041x39089,https://www.lambert.net/
1406,Alexander Floyd,investor,Tech,1,0,414151,uprince@johnson-ross.com,(156)181-1963,https://walker-franco.com/
1407,Denise Hernandez,investor,Healthcare,7,0,378412,chadlevine@gmail.com,+1-541-900-1943x7006,https://www.johnson-lee.com/
1408,David Daniel,mentor,Healthcare,24,0,0,tdixon@yahoo.com,093.475.8599x00606,https://www.torres.info/
1409,Edward Peterson,newbie,Finance,0,0,0,cindyperry@caldwell-hughes.info,(063)109-7283,http://www.donaldson.com/
1410,Noah Wright,investor,Education,29,0,190648,christophercobb@brown.org,190.176.6976,http://www.holland.com/
1411,Tina Willis,mentor,Education,12,0,0,erikhaynes@yahoo.com,(354)426-3105,https://www.espinoza.org/
1412,Amanda Delgado,entrepreneur,Blockchain,22,28454,0,michael69@willis-brown.biz,632.548.0117,http://www.chaney.info/
1413,Brandon Joseph,mentor,Education,13,0,0,vsoto@hotmail.com,(028)448-4460x88352,https://www.jennings.com/
1414,Daniel Richardson,newbie,Healthcare,0,0,0,michaelcraig@cooper.com,(350)893-0032x72388,https://newman.org/
1415,Susan Hughes,newbie,Blockchain,0,0,0,qdixon@cruz.biz,126-427-4397x10998,http://foster.com/
1416,Shelby Cruz,mentor,AI,10,0,0,benjamin39@hotmail.com,+1-403-271-8835x863,http://www.choi.com/
1417,Patricia Mills,mentor,Finance,7,0,0,gilldavid@martin.com,+1-457-669-9687x94101,https://mckee.com/
1418,Laura Mccoy,newbie,Tech,0,0,0,susan53@yahoo.com,820.499.9953x496,https://hill.net/
1419,Monica Kline,mentor,Blockchain,13,0,0,lauren67@weaver-richards.com,(818)062-4976x7149,https://www.evans-hall.org/
1420,Anthony Zimmerman,investor,Tech,28,0,308868,graywanda@chen-brown.com,554-015-3521,http://wilson-heath.com/
1421,Wendy Mitchell,newbie,Blockchain,0,0,0,stacey03@dixon.com,506.617.0560,http://www.long-johnson.biz/
1422,Amy Mccarty,entrepreneur,Finance,15,81796,0,jonesdavid@gmail.com,+1-573-545-4847x34498,https://edwards.com/
1423,Michael Jones,investor,Blockchain,19,0,452119,seanbrown@hotmail.com,915.522.1433,http://williams.org/
1424,Angela Molina,mentor,E-commerce,7,0,0,knoxbrent@yahoo.com,+1-006-204-6200x540,http://www.williams-morris.org/
1425,Ms. Kristen Black,mentor,Finance,1,0,0,ofarley@roberts-cunningham.net,105-962-3658x412,https://lawrence.com/
1426,Robert Davis,newbie,Education,0,0,0,bking@hood.com,614.504.2433,http://www.young.com/
1427,Theresa Johnson,entrepreneur,Healthcare,5,94019,0,norrismark@shepherd.org,+1-658-066-4858,http://www.cherry.info/
1428,Cindy Rojas,investor,E-commerce,2,0,252781,brianmiller@gmail.com,+1-518-126-2726x440,https://alexander.com/
1429,Kyle Vega,entrepreneur,Tech,27,25531,0,codymack@yahoo.com,(218)705-8746,https://www.williams.biz/
1430,Matthew Woods,newbie,Tech,0,0,0,youngsandra@watson.biz,947.220.5738,https://www.hernandez.com/
1431,Eileen Walker,mentor,Education,28,0,0,aaron57@yahoo.com,012-015-7492x126,https://hodge.com/
1432,Reginald Caldwell,newbie,AI,0,0,0,asmith@mitchell.net,8673399809,https://page.net/
1433,Charles Tran,entrepreneur,E-commerce,29,16817,0,boonericardo@hotmail.com,(434)619-0930x697,https://www.diaz.com/
1434,Tim Harris,newbie,Blockchain,0,0,0,wangdenise@martinez.com,(446)741-0415x144,https://crane.info/
1435,Stephanie Jackson,newbie,Healthcare,0,0,0,perryvega@gmail.com,(952)820-2328x0850,https://bailey-vasquez.org/
1436,Daniel Robinson,investor,AI,16,0,254269,kennedyalec@mathis-reyes.info,001-876-775-8452x8156,http://wilson.net/
1437,Christopher Jensen,newbie,AI,0,0,0,cunninghamsamantha@allen-clark.net,001-260-413-6819x367,http://www.roy.biz/
1438,David Gill,investor,AI,30,0,412416,lmalone@reyes.com,001-901-596-3524x957,https://www.white.com/
1439,Christina Lee,entrepreneur,Tech,6,71693,0,millerelizabeth@gmail.com,+1-115-149-9734x65902,http://www.turner.com/
1440,Latasha Mcconnell,newbie,Healthcare,0,0,0,jamesclark@yahoo.com,+1-523-418-3393x662,https://www.gonzalez.com/
1441,Cory Turner,entrepreneur,Blockchain,28,55241,0,kyle94@guzman.org,9380341819,http://briggs-nguyen.com/
1442,Christina Green,mentor,E-commerce,8,0,0,tranjustin@zamora.org,001-894-804-5195,https://carter.com/
1443,Anne Carter,newbie,Healthcare,0,0,0,obell@gmail.com,9899679961,https://russell-adams.com/
1444,Hannah Butler,newbie,Tech,0,0,0,pberg@rodriguez.net,(854)640-2025,https://www.keller.com/
1445,Cheryl Hardin,mentor,Blockchain,12,0,0,millercraig@romero-mitchell.com,325-134-4516,https://figueroa.biz/
1446,Zachary Clark,entrepreneur,Blockchain,24,26493,0,pattonjennifer@winters-brown.com,449-434-9416x598,https://reeves.com/
1447,Glenda Moore,investor,Blockchain,6,0,125150,fhaynes@rich-davis.org,(601)880-6777,http://gordon-williams.com/
1448,Peter Phillips,newbie,AI,0,0,0,dmorgan@gmail.com,690-685-7103,https://www.bryant-curtis.com/
1449,Jennifer Davis DDS,investor,Education,29,0,204120,cheryl12@case.com,519-647-3000,https://lee-perry.com/
1450,Jennifer Wilson,investor,Healthcare,4,0,124166,whiterachel@gmail.com,116.569.6766x784,http://www.macias.com/
1451,Anthony Stevens,investor,Finance,2,0,327669,poncejavier@gmail.com,356-118-8805x750,https://torres-cummings.info/
1452,Natalie Hale,investor,AI,27,0,401028,mcintoshlinda@hotmail.com,+1-582-987-5609x1214,http://morton-payne.com/
1453,Tim Nelson,newbie,Education,0,0,0,cynthiashort@woods-jones.com,046.557.3584,http://www.lee.biz/
1454,Russell Cooper,investor,AI,13,0,248579,bradleydavis@barrett.com,3904997762,https://vargas.biz/
1455,Amy Sutton,mentor,Blockchain,28,0,0,karenhendricks@gmail.com,5917716174,https://www.moore-hamilton.com/
1456,Zachary Carson,investor,Education,15,0,24627,daniellemurray@gmail.com,861.987.7632,http://www.hale.org/
1457,Melinda Shaw,mentor,AI,23,0,0,erica23@hotmail.com,165.286.5601,https://www.gibson.biz/
1458,Colton Mitchell,newbie,Healthcare,0,0,0,elizabeth77@hotmail.com,331.127.3843x5121,http://www.turner.org/
1459,Michael Castro,mentor,Finance,22,0,0,kpowell@webster.org,001-343-962-5152x2297,https://www.steele.com/
1460,Heather Hernandez,newbie,Education,0,0,0,leahpadilla@miller.info,001-243-474-4217x0900,http://ortega-diaz.com/
1461,Amanda Norman,entrepreneur,Finance,5,38477,0,kimstephen@wang.org,010.565.3089x46837,http://www.wiggins.info/
1462,Janet Baker,investor,Blockchain,3,0,405785,tiffanylewis@yahoo.com,+1-734-141-2653x241,https://wolfe.biz/
1463,Donna Miller,entrepreneur,Education,18,20970,0,michelle42@yahoo.com,001-580-798-9868,http://miller.com/
1464,Monica Hudson,mentor,Healthcare,17,0,0,lopezcraig@pena.biz,917.627.7096,http://www.rose.info/
1465,Blake Walker,mentor,Tech,2,0,0,zvalenzuela@hotmail.com,029.902.8902,http://www.mcintyre.com/
1466,Jocelyn Hartman,entrepreneur,Finance,1,68192,0,ebarber@hotmail.com,(125)386-8357x730,http://bradley.biz/
1467,Megan Huang,newbie,Blockchain,0,0,0,jeffrey12@harris.org,+1-927-255-1476,http://www.burns.com/
1468,Kelly Scott,mentor,Blockchain,10,0,0,kylie07@welch.info,701.057.3354,https://www.walker.net/
1469,Rhonda Barrett,mentor,E-commerce,0,0,0,stephanie64@young.biz,292-914-6613,https://rich.info/
1470,Daniel Bond,mentor,AI,20,0,0,ronniebuckley@hotmail.com,132.061.5371x15816,http://thompson.com/
1471,Valerie Williams,mentor,Blockchain,7,0,0,mooremitchell@spencer.com,271.931.4381x089,http://www.evans-carpenter.info/
1472,Nancy Elliott,mentor,Finance,6,0,0,juan59@yahoo.com,815.762.8011x283,https://calderon-golden.com/
1473,Julie Mitchell,newbie,Education,0,0,0,mary41@hotmail.com,+1-796-075-8898,https://www.burke-stewart.net/
1474,Eric Wells,newbie,E-commerce,0,0,0,uhuynh@gamble.com,2432929947,https://www.reed-newman.com/
1475,Bryan Harris,mentor,E-commerce,15,0,0,rodriguezbobby@hotmail.com,+1-306-513-8317x7268,http://www.shepard.biz/
1476,Kristin Leonard,newbie,AI,0,0,0,pwatts@mays-hunt.com,(869)786-6536x0035,http://www.klein-williamson.biz/
1477,Nathan Kim,newbie,E-commerce,0,0,0,bruceconnie@hotmail.com,9760722821,http://www.jimenez.com/
1478,Margaret Robinson,newbie,Finance,0,0,0,dennis41@hotmail.com,276-336-5682x901,http://www.coleman.org/
1479,Brian Smith,mentor,Blockchain,1,0,0,gomezryan@yahoo.com,(642)540-9774x1876,https://esparza-rogers.net/
1480,Jason Marshall,mentor,Tech,14,0,0,morrisonstacey@gmail.com,017.590.8777x85048,http://www.johnson.net/
1481,Lisa Greer,entrepreneur,Blockchain,15,93672,0,hdavis@rocha.biz,(484)485-5174,http://ibarra.net/
1482,Regina Butler,entrepreneur,Tech,19,55619,0,flee@gmail.com,+1-202-245-9719x578,http://gomez.com/
1483,Daniel Wilson,entrepreneur,Healthcare,8,59562,0,jamie35@hotmail.com,+1-906-347-1930,http://www.todd.com/
1484,Amy Rowe,mentor,Finance,25,0,0,joshua08@george.com,216.509.5943,https://richardson.com/
1485,Angela Taylor,mentor,E-commerce,17,0,0,williamsbryan@anderson.net,208-984-7349,http://davis.com/
1486,Nicole Robinson,newbie,E-commerce,0,0,0,stevensjames@vaughn.com,144.390.1706,http://green.net/
1487,Kathleen Marks,mentor,E-commerce,16,0,0,brittany29@hotmail.com,741-806-4291x0333,http://www.nguyen.com/
1488,Michele Smith,mentor,Blockchain,11,0,0,hlloyd@yahoo.com,130-863-5172x9174,https://romero.com/
1489,Stephanie Kelly,entrepreneur,AI,2,90967,0,sandovalbrenda@miller-carpenter.com,+1-194-333-7000x92554,https://www.hunter.com/
1490,Susan Allen,entrepreneur,Education,12,49476,0,todd37@gibbs.com,0145990679,https://ross-joyce.biz/
1491,Noah Ramirez,investor,Blockchain,8,0,454896,daniel59@lopez-lopez.com,001-222-702-7730x53201,https://www.burton.net/
1492,Erica Collins,investor,Blockchain,11,0,53614,johnmoses@gmail.com,+1-609-770-5221,http://www.howard-ellis.com/
1493,Sandra Parker,newbie,Tech,0,0,0,robert45@gmail.com,(912)553-9028,https://klein.com/
1494,Kristen Anderson,investor,Healthcare,10,0,238517,mccarthyjoseph@jensen.com,8034813814,https://www.howell.com/
1495,Erik Brown,investor,Education,14,0,124712,patriciaali@hotmail.com,001-226-453-8208x35117,http://jackson-olson.com/
1496,Anthony Knight,investor,Tech,29,0,347897,barberwendy@dickerson.info,(742)020-8570,http://moore.com/
1497,Jeffery Atkins,newbie,Blockchain,0,0,0,amacias@molina.com,(629)004-1153,https://www.jackson.com/
1498,Lisa Buckley,entrepreneur,Education,17,85953,0,salasthomas@hotmail.com,958.810.9497x191,https://cox.com/
1499,Jared Walton,entrepreneur,Healthcare,14,44273,0,dixonjennifer@gmail.com,310-571-6858x2514,https://www.davies-garcia.org/
1500,Sarah Howard,mentor,Tech,7,0,0,bryanjones@gmail.com,838-008-2706,https://bryan-dean.com/
1501,Amanda White,newbie,Education,0,0,0,amanda91@johnson.com,322-841-8735x88360,http://peterson.com/
1502,Lisa Martinez,investor,Blockchain,13,0,247789,woodmarc@schneider-bell.biz,(509)383-4478x4137,http://case.net/
1503,Amy Mcdowell,mentor,Finance,29,0,0,heidi33@hodges.com,(951)810-3057x10288,https://www.dorsey.com/
1504,Gabriela Dickerson,newbie,AI,0,0,0,michelle83@meyer-chambers.biz,078.887.6556x49580,https://gonzalez.net/
1505,Lisa Lee,mentor,Blockchain,12,0,0,sharris@thomas.com,+1-537-673-8962x991,https://www.cameron-lewis.com/
1506,Michael Holland,mentor,Blockchain,2,0,0,petersonjames@marshall-morris.info,001-527-402-5359x36082,https://thompson.com/
1507,Tamara Lee,newbie,Tech,0,0,0,markferrell@poole-salazar.com,+1-626-417-2455x51020,http://lewis.info/
1508,Alexis Turner,investor,Finance,7,0,30418,fosterbrian@gmail.com,771-701-5718x8608,https://www.jones-fisher.org/
1509,Katherine Vega,newbie,Blockchain,0,0,0,bmitchell@yahoo.com,+1-370-454-0242x42151,http://ortiz.org/
1510,Jacob Haynes,investor,E-commerce,27,0,174199,gleonard@hotmail.com,2357568219,https://www.harrell.com/
1511,Jennifer Anthony,mentor,AI,23,0,0,stephanie15@gmail.com,749-379-9976x14983,http://anderson-baker.net/
1512,Natasha Lee,mentor,E-commerce,5,0,0,vhughes@king.com,(644)258-2283x74938,https://www.graves.info/
1513,Nathaniel Key,investor,Finance,19,0,146967,erinwatkins@gmail.com,807-856-5212x6573,https://hernandez-cox.com/
1514,Timothy Wagner,newbie,Education,0,0,0,leonjustin@johnson.info,(046)835-1161x445,http://www.palmer.org/
1515,Billy Maddox,mentor,Healthcare,13,0,0,walter76@smith.org,+1-313-429-5207x3611,https://www.cole.com/
1516,Melanie Jennings,investor,Healthcare,11,0,373790,cardenasjason@hotmail.com,+1-744-793-5970,https://dorsey.com/
1517,Yolanda Diaz DVM,investor,AI,12,0,337038,williamhiggins@reed-watts.biz,239.932.9614,http://www.norris.org/
1518,Tammy Woodard,mentor,Healthcare,23,0,0,hunteramber@gmail.com,714.861.8548x4789,https://gross.net/
1519,Todd Glenn,entrepreneur,AI,18,16216,0,fchen@vasquez.com,902-422-3000,http://johnson.com/
1520,John Rodriguez,entrepreneur,AI,5,10934,0,richardskinner@hotmail.com,+1-433-913-7256,https://www.lucero.com/
1521,Rachael Taylor,newbie,AI,0,0,0,gregorysmith@smith.net,805-403-9043,https://ray-robertson.net/
1522,David Anderson,newbie,Finance,0,0,0,hunterevelyn@williams.net,+1-917-039-0287x79464,https://green.info/
1523,Nicholas Zavala,investor,Tech,8,0,152339,hpetersen@yahoo.com,+1-147-143-5567x457,https://www.martin.com/
1524,Michelle Salinas,entrepreneur,AI,27,41889,0,scottparker@brown.net,001-389-179-8679,https://mcdowell-yang.biz/
1525,Lori Johnson,entrepreneur,Blockchain,15,67674,0,eunderwood@hotmail.com,908.420.9731x198,https://alvarez.com/
1526,Michelle Wiggins,entrepreneur,Education,7,73446,0,allison64@gmail.com,(997)077-8223x228,https://richardson.com/
1527,Joshua Ramsey,newbie,AI,0,0,0,mccallkathy@yahoo.com,(744)010-0382x588,http://austin-rodriguez.net/
1528,Nicholas Lynch,newbie,AI,0,0,0,bstone@hotmail.com,542-299-6399,https://www.craig.biz/
1529,Kenneth Pierce,mentor,Healthcare,7,0,0,diane83@lutz.info,(777)549-2778x365,https://gray.info/
1530,Jeremy Yang,investor,Finance,2,0,191258,oanderson@dennis-mclean.biz,449-051-7028,http://www.gomez.com/
1531,Heather Hall,investor,Blockchain,3,0,456789,ogreen@thomas.net,(926)550-9963x305,https://hudson.com/
1532,Mark Pierce,newbie,Healthcare,0,0,0,williamskim@gmail.com,233-893-5092x9805,https://www.martinez.com/
1533,Steven Ellis,investor,Blockchain,19,0,336398,robert63@sherman.com,041.585.5718,http://www.owens-alvarez.com/
1534,Philip Scott,investor,Healthcare,8,0,8408,pgutierrez@gmail.com,+1-511-413-0473x680,https://www.stafford.info/
1535,Grace Hooper,newbie,Tech,0,0,0,donna18@randall.com,141-614-6350x68939,http://www.walker.com/
1536,Jennifer Michael,mentor,Education,12,0,0,yfritz@holmes-patrick.com,494-407-3187x36421,https://www.anderson-mosley.biz/
1537,George Haney,newbie,Blockchain,0,0,0,zrogers@gmail.com,+1-320-617-1452,https://www.li.com/
1538,Denise Huffman,newbie,E-commerce,0,0,0,jeffrey15@arroyo-brown.com,3648939199,http://www.kline-russo.info/
1539,William Chavez,investor,Tech,14,0,437192,josephjames@gmail.com,(970)549-8083x65130,https://www.brown.info/
1540,Monica Brown,mentor,Finance,29,0,0,bbailey@snyder.com,(936)634-2542x2962,http://www.hull-nelson.com/
1541,Katie Smith,mentor,Tech,7,0,0,bjenkins@johnson-carter.com,421.706.2188x655,http://www.pham.com/
1542,Scott Wilson,entrepreneur,AI,9,64947,0,davidsavage@yahoo.com,001-552-755-9744x53765,http://www.gregory.biz/
1543,Shane Davis,mentor,Healthcare,21,0,0,ruthmarshall@hotmail.com,+1-376-226-4112x332,http://young.com/
1544,Howard Liu,investor,Education,29,0,93103,levans@yahoo.com,+1-195-657-0468,https://www.smith.org/
1545,William Carr,newbie,Education,0,0,0,winterscatherine@yahoo.com,978-750-3781x348,http://www.santos.biz/
1546,Dana Juarez,investor,Education,25,0,166855,tom71@miller-rivers.com,001-040-183-9763x5242,https://smith.com/
